,,,,,,,,,,,,各月の再生回数→
No.,動画名,サムネイル,動画名キーワード,カテゴリ,クリック率,平均視聴時間,平均再生率,30秒時点での視聴維持率,おすすめシェア,総再生回数確認用,総再生回数,2025/12,2025/1,2025/2,2025/3,2025/4,2025/5,2025/6,2025/7,2025/8,2025/9,2025/10,2025/11,2025/12,2026/1
26,【Strategists】代表インタビュー / 戦コン内定率82%の秘訣,,Strategists,インタビュー,3.00%,3:12,27.20%,57%,6.40%,,192,,,,,,,107,23,10,14,11,9,10,5
27,【戦コン転職】なぜStrategistsを選んだのか / 印象に残った1題 / 本業との両立方法,,"転職, Strategists",インタビュー,3.20%,2:31,29.50%,54%,6.90%,,255,,,,,,,103,35,23,19,16,15,13,15
28,【ケース面接実践】Airbnbの売上向上施策,,"ケース面接, 売上向上",ケース対策,6.50%,5:48,39.70%,83%,21.10%,166,998,,,,,,,198,121,91,87,121,143,90,96
29,【ケース指導を再現！】町の銭湯を持続させるには？（MBB過去問）,,ケース面接,ケース対策,6.70%,6:03,43.50%,76%,19.90%,91,"1,119",,,,,,,144,121,67,86,154,171,126,146
30,【ケース面接の罠】ぶっちゃけ対策厨ってどう思う？戦略コンサル・元MBB社員が面接官の視点を徹底解説。,,"ケース面接, 戦略コンサル, MBB",ケース対策,4.6%,3:38,37.90%,58%,12.20%,,966,,,,,,,,366,105,85,95,121,62,78
31,【ケース面接成功の鍵】売上向上ケースは最初に何を考えるべきか。戦略コンサル・元MBB社員が面接官の視点を徹底解説。,,"ケース面接, 売上向上, 戦略コンサル, MBB",ケース対策,6.50%,4:06,44.00%,57%,28.50%,,"2,123",,,,,,,,317,190,227,392,300,259,213
32,【徹底解剖】元トップ戦コン社員がMBB各社の違いをぶっちゃけ解説！働く人の違い/案件の違い,,MBB,その他,5.70%,3:45,34.40%,55%,16.60%,,614,,,,,,,,188,127,78,40,45,56,42
33,【元MBB社員が本音回答】マッキンゼー・ボスコン・ベインの選考の違いは？案件の違いは？,,MBB,その他,5.70%,4:01,32.00%,55%,25.80%,,"1,746",,,,,,,,189,174,212,301,306,264,161
34,【2025年最新】現役戦コン社員が直近のコンサル採用動向を徹底解説,,MBB,その他,6.20%,3:51,36.60%,54%,48.30%,,"1,415",,,,,,,,,448,210,125,174,166,166
35,【ケース面接の最重要評価ポイント】元戦コン社員が受かるディスカッションを解説,,ケース面接,ケース対策,4.50%,4:43,40.80%,62%,10.40%,,418,,,,,,,,,171,71,45,56,21,32
36,【毎日14時間労働】戦略コンサルタント激務の1年目 / 元MBB社員が当時を振り返りながら解説。,,"戦略コンサル, MBB",その他,8.00%,3:11,38.80%,59%,41.90%,,"2,851",,,,,,,,,321,518,437,479,382,392
37,【人間離れの生産性】戦略コンサル 圧倒的ハイパフォーマー / 元MBB社員が語るパフォームする社員の特徴,,戦略コンサル,その他,4.30%,5:09,46.60%,64%,13.10%,,367,,,,,,,,,152,71,33,19,39,16
38,【元戦コン社員が徹底解説】ケース面接で受かる対策・落ちる対策,,ケース面接,その他,5.00%,2:57,37.00%,54%,12.30%,,532,,,,,,,,,99,140,85,60,47,42
39,【ケース面接】受かる対策・落ちる対策 / 元戦コン社員が徹底解説,,ケース面接,その他,4.30%,4:18,37.50%,69%,19.70%,,366,,,,,,,,,,166,50,23,25,42
40,【スケジュール大公開】MBB社員のリアルな1日/ 戦略コンサルの働き方を解説,,戦略コンサル,その他,7.60%,3:50,33.10%,61%,25.40%,,"1,656",,,,,,,,,,410,272,473,219,152
41,【Top講師がケース指導を実演！】QBハウスの売上向上（MBB過去問）,,ケース面接,その他,6.20%,3:49,38.50%,53%,13.10%,,598,,,,,,,,,,281,98,73,56,56
42,【安易な転職は危険？】現役社員が戦コン適性の見極めポイントをぶっちゃけ解説,,ケース面接,その他,3.50%,4:04,40.10%,57%,17.20%,,253,,,,,,,,,,148,35,31,13,16
43,【激務の裏側】戦コン社員のぶっちゃけプライベート / よく飲むエリア / 結婚・家庭事情,,ケース面接,その他,4.50%,3:30,37.00%,50%,15.40%,,455,,,,,,,,,,185,83,58,48,38
44,【ポストコンサル】戦略コンサル元社員がキャリアの実情を本音で解説,,ケース面接,その他,5.80%,3:55,40.70%,58%,19.20%,,442,,,,,,,,,,108,84,52,89,52
45,【ここで差がつく】戦略コンサル元面接官が選考上の評価ポイントを大公開！,,ケース面接,その他,5.80%,3:39,40.00%,59%,11.90%,,407,,,,,,,,,,,256,40,38,38
46,戦略コンサルで英語は必要なのか？業務/選考の両側面から元社員が解説,,ケース面接,その他,4.20%,2:37,32.60%,55%,13.90%,,321,,,,,,,,,,,169,42,47,30
47,【ケース面接実践】戦略コンサル元面接官が売上向上のお題を徹底解説,,ケース面接,その他,9.90%,5:22,36.00%,65%,15.10%,,"1,966",,,,,,,,,,,175,519,393,419
48,【あなたも要注意】戦コン社員のリアルなやらかしを赤裸々告白,,ケース面接,その他,3.90%,3:13,33.80%,46%,17.70%,,248,,,,,,,,,,,,179,37,17
49,【戦コンの資料作成】元戦コン社員が若手の業務内容を徹底解説,,ケース面接,その他,7.60%,2:57,27.10%,59%,36.10%,,94,,,,,,,,,,,,94,0,0
50,【フェルミ推定】プロ講師がメモの取り方や立式のコツを解説,,ケース面接,その他,6.30%,2:47,34.80%,45%,21.50%,,319,,,,,,,,,,,,148,98,45
51,ボスコンからお笑い芸人に転身/異色の経歴を深掘る,,戦略コンサル,インタビュー,5.90%,6:04,25.80%,58%,24.80%,,331,,,,,,,,,,,,127,145,36
52,受け身では終わる。元BCGが教えるコンサルで生き残る唯一の解,,戦略コンサル,インタビュー,5.20%,3:35,30.70%,53%,29.00%,,327,,,,,,,,,,,,,270,36
53,"外資と日系の戦略コンサルの違いとは？ボスコン・DI・IGPIを渡り歩いたコンサルタントに聞いてみた。
【元DI→BCGマネが解説】日系戦略ファームの特徴とは？",,戦略コンサル,インタビュー,8.30%,3:59,39.30%,59%,22.80%,,506,,,,,,,,,,,,,147,188
54,戦略コンサルのマネージャーだけど質問ある？,,戦略コンサル,その他,6.50%,3:26,27.00%,51%,33.70%,,261,,,,,,,,,,,,,,225
55,戦コン元マネが若手社会人に贈る！必読のビジネス本4選,,戦略コンサル,その他,6.80%,2:47,32.50%,48%,29.00%,,190,,,,,,,,,,,,,,161
56,【衝撃】AIでコンサルは潰れるのか？元戦略コンサルマネージャーが徹底解説,,戦略コンサル,その他,5.40%,3:44,42.40%,69%,32.20%,,142
57,【徹底解説】元戦コンマネージャーが教えるコンサル業界で生き残る秘訣,,戦略コンサル,その他,6.10%,3:22,34.70%,57%,42.70%,,108
58,【元BCG面接が指導】ケース面接実践 -結婚式場の売上向上-,,戦略コンサル,その他,7.20%,3:35,28.50%,50%,35.20%,,252
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
